uc,run,neighbour_down,neighbour_up
UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,3.9,7.7
UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,3.8,7.5
UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,3.5,7.1
UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,4.0,7.6
UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,3.6,7.3
UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,4.1,7.9
UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,4.0,7.6
UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,3.3,7.0
UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,3.7,7.3
UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,3.6,7.2
UC1_P20,run-20251203-212342_uc7_p20_m2000_r10_s256_DIRECT,9.2,11.7
UC1_P20,run-20251203-212747_uc7_p20_m2000_r10_s256_DIRECT,0.0,0.0
UC1_P20,run-20251203-212838_uc7_p20_m2000_r10_s256_DIRECT,8.8,11.4
UC1_P20,run-20251203-213244_uc7_p20_m2000_r10_s256_DIRECT,9.1,11.75
UC1_P20,run-20251203-213650_uc7_p20_m2000_r10_s256_DIRECT,9.1,11.75
UC1_P20,run-20251203-214055_uc7_p20_m2000_r10_s256_DIRECT,10.5,13.35
UC1_P20,run-20251203-214503_uc7_p20_m2000_r10_s256_DIRECT,9.95,12.95
UC1_P20,run-20251203-214921_uc7_p20_m2000_r10_s256_DIRECT,9.8,12.35
UC1_P20,run-20251203-215331_uc7_p20_m2000_r10_s256_DIRECT,8.45,11.35
UC1_P20,run-20251203-215740_uc7_p20_m2000_r10_s256_DIRECT,9.1,12.05
UC1_P30,run-20251203-220500_uc7_p30_m2000_r10_s256_DIRECT,10.966666666666667,13.8
UC1_P30,run-20251203-220910_uc7_p30_m2000_r10_s256_DIRECT,10.833333333333334,13.6
UC1_P30,run-20251203-221319_uc7_p30_m2000_r10_s256_DIRECT,5.133333333333334,8.033333333333333
UC1_P30,run-20251203-221740_uc7_p30_m2000_r10_s256_DIRECT,0.0,0.0
UC1_P30,run-20251203-221840_uc7_p30_m2000_r10_s256_DIRECT,9.933333333333334,12.8
UC1_P30,run-20251203-222307_uc7_p30_m2000_r10_s256_DIRECT,14.0,17.0
UC1_P30,run-20251203-222732_uc7_p30_m2000_r10_s256_DIRECT,11.2,13.766666666666667
UC1_P30,run-20251203-223209_uc7_p30_m2000_r10_s256_DIRECT,9.366666666666667,12.2
UC1_P30,run-20251203-223629_uc7_p30_m2000_r10_s256_DIRECT,14.866666666666667,17.9
UC1_P30,run-20251203-224039_uc7_p30_m2000_r10_s256_DIRECT,13.7,16.8
UC1_P40,run-20251203-224549_uc7_p40_m2000_r10_s256_DIRECT,11.75,14.375
UC1_P40,run-20251203-224949_uc7_p40_m2000_r10_s256_DIRECT,15.55,18.375
UC1_P40,run-20251203-225348_uc7_p40_m2000_r10_s256_DIRECT,20.225,23.275
UC1_P40,run-20251203-225746_uc7_p40_m2000_r10_s256_DIRECT,16.075,18.725
UC1_P40,run-20251203-230145_uc7_p40_m2000_r10_s256_DIRECT,12.125,14.775
UC1_P40,run-20251203-230546_uc7_p40_m2000_r10_s256_DIRECT,16.125,18.75
UC1_P40,run-20251203-230946_uc7_p40_m2000_r10_s256_DIRECT,6.025,9.025
UC1_P40,run-20251203-231343_uc7_p40_m2000_r10_s256_DIRECT,15.1,18.3
UC1_P40,run-20251203-231741_uc7_p40_m2000_r10_s256_DIRECT,7.625,10.8
UC1_P40,run-20251203-232148_uc7_p40_m2000_r10_s256_DIRECT,16.05,19.25
UC1_P50,run-20251203-232900_uc7_p50_m2000_r10_s256_DIRECT,0.0,0.0
UC1_P50,run-20251203-232954_uc7_p50_m2000_r10_s256_DIRECT,12.16,14.78
UC1_P50,run-20251203-233355_uc7_p50_m2000_r10_s256_DIRECT,16.92,19.58
UC1_P50,run-20251203-233800_uc7_p50_m2000_r10_s256_DIRECT,16.58,19.38
UC1_P50,run-20251203-234205_uc7_p50_m2000_r10_s256_DIRECT,17.58,20.52
UC1_P50,run-20251203-234607_uc7_p50_m2000_r10_s256_DIRECT,6.06,8.84
UC1_P50,run-20251203-235012_uc7_p50_m2000_r10_s256_DIRECT,18.14,20.96
UC1_P50,run-20251203-235414_uc7_p50_m2000_r10_s256_DIRECT,16.24,19.46
UC1_P50,run-20251203-235813_uc7_p50_m2000_r10_s256_DIRECT,17.12,19.94
UC1_P50,run-20251204-000214_uc7_p50_m2000_r10_s256_DIRECT,17.92,20.86
UC2_P10,run-20251203-203530_uc8_p10_m2000_r10_s256_RELAY,3.0,5.6
UC2_P10,run-20251203-204035_uc8_p10_m2000_r10_s256_RELAY,1.5,4.8
