uc,run,rt_avg_ms
UC1_P10,run-20251130-191904_uc1_p10_m2000_r10_s256_DIRECT,174.16666666666666
UC1_P10,run-20251130-192239_uc1_p10_m2000_r10_s256_DIRECT,68.85714285714286
UC1_P10,run-20251130-192612_uc1_p10_m2000_r10_s256_DIRECT,9594.166666666666
UC1_P10,run-20251130-192948_uc1_p10_m2000_r10_s256_DIRECT,11486.2
UC1_P10,run-20251130-193323_uc1_p10_m2000_r10_s256_DIRECT,91.25
UC1_P10,run-20251130-193701_uc1_p10_m2000_r10_s256_DIRECT,87.33333333333333
UC1_P10,run-20251130-194038_uc1_p10_m2000_r10_s256_DIRECT,84.16666666666667
UC1_P10,run-20251130-194418_uc1_p10_m2000_r10_s256_DIRECT,58.142857142857146
UC1_P10,run-20251130-194755_uc1_p10_m2000_r10_s256_DIRECT,86.0
UC1_P10,run-20251130-195130_uc1_p10_m2000_r10_s256_DIRECT,91.0
UC1_P50,run-20251130-214557_uc1_p50_m2000_r10_s256_DIRECT,
UC1_P50,run-20251130-214642_uc1_p50_m2000_r10_s256_DIRECT,15542.193548387097
UC1_P50,run-20251130-215031_uc1_p50_m2000_r10_s256_DIRECT,10203.25
UC1_P50,run-20251130-215412_uc1_p50_m2000_r10_s256_DIRECT,10384.758620689656
UC1_P50,run-20251130-215753_uc1_p50_m2000_r10_s256_DIRECT,24516.035714285714
UC1_P50,run-20251130-220138_uc1_p50_m2000_r10_s256_DIRECT,
UC1_P50,run-20251130-220222_uc1_p50_m2000_r10_s256_DIRECT,
UC1_P50,run-20251130-220306_uc1_p50_m2000_r10_s256_DIRECT,7471.133333333333
UC1_P50,run-20251130-220655_uc1_p50_m2000_r10_s256_DIRECT,
UC1_P50,run-20251130-220739_uc1_p50_m2000_r10_s256_DIRECT,
UC2_P10,run-20251130-223524_uc2_p10_m2000_r10_s256_RELAY,3.5
UC2_P10,run-20251130-223910_uc2_p10_m2000_r10_s256_RELAY,1945.4285714285713
UC2_P10,run-20251130-224256_uc2_p10_m2000_r10_s256_RELAY,2159.285714285714
UC2_P10,run-20251130-224642_uc2_p10_m2000_r10_s256_RELAY,6099.285714285715
UC2_P10,run-20251130-225028_uc2_p10_m2000_r10_s256_RELAY,2970.25
UC2_P10,run-20251130-225414_uc2_p10_m2000_r10_s256_RELAY,38413.0
UC2_P10,run-20251130-225800_uc2_p10_m2000_r10_s256_RELAY,9667.666666666666
UC2_P10,run-20251130-230146_uc2_p10_m2000_r10_s256_RELAY,16855.5
UC2_P10,run-20251130-230532_uc2_p10_m2000_r10_s256_RELAY,2819.625
UC2_P10,run-20251130-230918_uc2_p10_m2000_r10_s256_RELAY,52167.0
UC2_P50,run-20251201-011707_uc2_p50_m2000_r10_s256_RELAY,2624.4
UC2_P50,run-20251201-012101_uc2_p50_m2000_r10_s256_RELAY,11212.09375
UC2_P50,run-20251201-012454_uc2_p50_m2000_r10_s256_RELAY,10922.107142857143
UC2_P50,run-20251201-012847_uc2_p50_m2000_r10_s256_RELAY,2833.8387096774195
UC2_P50,run-20251201-013241_uc2_p50_m2000_r10_s256_RELAY,20957.962962962964
UC2_P50,run-20251201-013635_uc2_p50_m2000_r10_s256_RELAY,27759.5
UC2_P50,run-20251201-014028_uc2_p50_m2000_r10_s256_RELAY,7584.285714285715
UC2_P50,run-20251201-014421_uc2_p50_m2000_r10_s256_RELAY,15560.387096774193
UC2_P50,run-20251201-014816_uc2_p50_m2000_r10_s256_RELAY,19854.366666666665
UC2_P50,run-20251201-015210_uc2_p50_m2000_r10_s256_RELAY,10466.85294117647
